form_id,field_id,question_type,question_indic,answer_canonical,language
FORM_001,F01,direct,What documents are needed for Aadhaar address update?,Electricity bill / Ration card / Passport / Voter ID,en
FORM_001,F01,direct,आधार कार्ड में पता बदलने के लिए कौन सा दस्तावेज चाहिए?,बिजली बिल / राशन कार्ड / पासपोर्ट / मतदाता पहचान पत्र,hi
FORM_001,F01,direct,আধার কার্ডে ঠিকানা পরিবর্তনের জন্য কোন নথি প্রয়োজন?,বিদ্যুৎ বিল / রেশন কার্ড / পাসপোর্ট / ভোটার আইডি,bn
FORM_001,F01,direct,ఆధార్ కార్డులో చిరునామా మార్చడానికి ఏ పత్రం కావాలి?,కరెంట్ బిల్లు / రేషన్ కార్డు / పాస్ పోర్ట్ / ఓటరు ఐడి,te
FORM_001,F01,direct,ஆதார் கார்டில் முகவரி மாற்ற எந்த ஆவணம் தேவை?,மின்சார கட்டணம் / ரேஷன் கார்டு / பாஸ்போர்ட் / வாக்காளர் அடையாள அட்டை,ta
FORM_001,F01,direct,आधार कार्डावर पत्ता बदलण्यासाठी कोणते दस्तऐवज आवश्यक आहे?,वीज बिल / रेशन कार्ड / पासपोर्ट / मतदार ओळखपत्र,mr
FORM_001,F01,direct,ಆಧಾರ್ ಕಾರ್ಡ್‌ನಲ್ಲಿ ವಿಳಾಸ ಬದಲಾಯಿಸಲು ಯಾವ ದಾಖಲೆ ಬೇಕು?,ವಿದ್ಯುತ್ ಬಿಲ್ / ಪಡಿತರ ಚೀಟಿ / ಪಾಸ್‌ಪೋರ್ಟ್ / ಮತದಾರರ ಗುರುತಿನ ಚೀಟಿ,kn
FORM_003,F01,reasoning,Am I eligible for EWS Income Certificate with household income Rs 6,50,000 and 3 acres land?,Eligible. Household income is below Rs 8,00,000 and land holding is below 5 acres.,en
FORM_003,F01,reasoning,मेरी वार्षिक आय ₹6.5 लाख और 3 एकड़ भूमि है, क्या मैं EWS आय प्रमाण पत्र के लिए पात्र हूँ?,पात्र हैं। आपकी वार्षिक आय ₹8 लाख से कम है और भूमि 5 एकड़ से कम है।,hi
FORM_003,F01,reasoning,আমার বার্ষিক আয় ৬.৫ লাখ টাকা এবং ৩ একর জমি আছে, আমি কি ইডব্লিউএস সনদের যোগ্য?,যোগ্য। বার্ষিক আয় ৮ লাখ টাকার কম এবং জমি ৫ একরের কম।,bn
FORM_003,F01,reasoning,నా వార్షిక ఆదాయం ₹6.5 లక్షలు మరియు 3 ఎకరాల భూమి ఉంది, నేను EWS సర్టిఫికెట్‌కు అర్హుడినా?,అర్హులు. వార్షిక ఆదాయం ₹8 లక్షల కంటే తక్కువ మరియు భూమి 5 ఎకరాల కంటే తక్కువ.,te
FORM_003,F01,reasoning,என் குடும்ப ஆண்டு வருமானம் ₹6.5 லட்சம் மற்றும் 3 ஏக்கர் நிலம் உள்ளது, நான் EWS சான்றிதழுக்கு தகுதியானவரா?,தகுதியானவர். ஆண்டு வருமானம் ₹8 லட்சத்திற்கு குறைவாகவும் நிலம் 5 ஏக்கருக்கு குறைவாகவும் உள்ளது.,ta
FORM_003,F01,reasoning,माझे वार्षिक उत्पन्न ₹६.५ लाख आणि ३ एकर जमीन आहे, मी EWS दाखल्यासाठी पात्र आहे का?,पात्र आहात. वार्षिक उत्पन्न ₹८ लाखांपेक्षा कमी आणि जमीन ५ एकरांपेक्षा कमी आहे.,mr
FORM_003,F01,reasoning,ನನ್ನ ವಾರ್ಷಿಕ ಆದಾಯ ₹6.5 ಲಕ್ಷ ಮತ್ತು 3 ಎಕರೆ ಜಮೀನಿದೆ, ನಾನು EWS ಪ್ರಮಾಣಪತ್ರಕ್ಕೆ ಅರ್ಹನೇ?,ಅರ್ಹರು. ವಾರ್ಷಿಕ ಆದಾಯ ₹8 ಲಕ್ಷಕ್ಕಿಂತ ಕಡಿಮೆ ಮತ್ತು ಜಮೀನು 5 ಎಕರೆಗಿಂತ ಕಡಿಮೆಯಿದೆ.,kn
FORM_004,F01,reasoning,Am I eligible for Old Age Pension if my age is 62 and annual income is Rs 40,000 with BPL card?,Eligible. Age is 60 or above (62) and annual income is below Rs 50,000 with valid BPL status.,en
FORM_004,F01,reasoning,यदि मेरी आयु 62 वर्ष और वार्षिक आय ₹40,000 है और BPL कार्ड है, तो क्या मैं वृद्धावस्था पेंशन के लिए पात्र हूँ?,पात्र हैं। आपकी आयु 60 वर्ष या अधिक (62) है और आय ₹50,000 से कम है।,hi
FORM_004,F01,reasoning,আমার বয়স ৬২ বছর, বার্ষিক আয় ৪০,০০০ টাকা এবং বিপিএল কার্ড আছে, আমি কি বার্ধক্য ভাতার যোগ্য?,যোগ্য। বয়স ৬০ বা তার বেশি (৬২) এবং বার্ষিক আয় ৫০,০০০ টাকার কম।,bn
FORM_004,F01,reasoning,నా వయస్సు 62 సంవత్సరాలు మరియు వార్షిక ఆదాయం ₹40,000, BPL కార్డు ఉంది. నేను వృద్ధాప్య పింఛనుకు అర్హుడినా?,అర్హులు. వయస్సు 60 సంవత్సరాలు పైబడి (62) ఉంది మరియు ఆదాయం ₹50,000 కంటే తక్కువ.,te
FORM_004,F01,reasoning,எனக்கு 62 வயது மற்றும் ஆண்டு வருமானம் ₹40,000, BPL கார்டு உள்ளது. நான் முதியோர் ஓய்வூதியத்திற்கு தகுதியானவரா?,தகுதியானவர். வயது 60க்கு மேல் (62) மற்றும் வருமானம் ₹50,000க்கு குறைவாக உள்ளது.,ta
FORM_004,F01,reasoning,माझे वय ६२ वर्षे आणि वार्षिक उत्पन्न ₹४०,००० आहे व BPL कार्ड आहे. मी वृद्धपकाळ निवृत्तीवेतनासाठी पात्र आहे का?,पात्र आहात. वय ६० किंवा अधिक (६२) आहे आणि उत्पन्न ₹५०,००० पेक्षा कमी आहे.,mr
FORM_004,F01,reasoning,ನನ್ನ ವಯಸ್ಸು 62 ವರ್ಷ ಮತ್ತು ವಾರ್ಷಿಕ ಆದಾಯ ₹40,000 ಬಿಪಿಎಲ್ ಕಾರ್ಡ್ ಇದೆ. ನಾನು ವೃದ್ಧಾಪ್ಯ ವೇತನಕ್ಕೆ ಅರ್ಹನೇ?,ಅರ್ಹರು. ವಯಸ್ಸು 60 ಅಥವಾ ಹೆಚ್ಚಿನದಾಗಿದೆ (62) ಮತ್ತು ಆದಾಯ ₹50,000 ಕ್ಕಿಂತ ಕಡಿಮೆಯಿದೆ.,kn
FORM_005,F01,reasoning,Can a 25-year-old tenant farmer with Aadhaar apply for Kisan Credit Card?,Yes, eligible. Age is between 18 and 75, tenant farming is allowed, and Aadhaar is provided.,en
FORM_005,F01,reasoning,क्या आधार कार्ड धारक 25 वर्षीय बटाईदार किसान किसान क्रेडिट कार्ड (KCC) के लिए आवेदन कर सकता है?,हाँ, पात्र हैं। आयु 18 से 75 के बीच है और आधार कार्ड संलग्न है।,hi
FORM_005,F01,reasoning,আধার কার্ড থাকা ২৫ বছর বয়সী একজন ভাগচাষী কি কিষাণ ক্রেডিট কার্ডের জন্য আবেদন করতে পারেন?,হ্যাঁ, যোগ্য। বয়স ১৮ থেকে ৭৫ এর মধ্যে এবং আধার রয়েছে।,bn
FORM_005,F01,reasoning,ఆధార్ ఉన్న 25 ఏళ్ల కౌలు రైతు కిసాన్ క్రెడిట్ కార్డు (KCC) కోసం దరఖాస్తు చేసుకోవచ్చా?,అవును, అర్హులు. వయస్సు 18 నుండి 75 మధ్య ఉంది మరియు ఆధార్ ఉంది.,te
FORM_005,F01,reasoning,ஆதார் வைத்திருக்கும் 25 வயது குத்தகை விவசாயி கிசான் கிரெடிட் கார்டுக்கு (KCC) விண்ணப்பிக்க முடியுமா?,ஆம், தகுதியானவர். வயது 18 முதல் 75க்குள் உள்ளது மற்றும் ஆதார் உள்ளது.,ta
FORM_005,F01,reasoning,आधार असलेले २५ वर्षांचे कूळ शेतकरी किसान क्रेडिट कार्डसाठी (KCC) अर्ज करू शकतात का?,होय, पात्र आहात. वय १८ ते ७५ दरम्यान आहे आणि आधार जोडलेले आहे.,mr
FORM_005,F01,reasoning,ಆಧಾರ್ ಇರುವ 25 ವರ್ಷದ ಗುತ್ತಿಗೆ ರೈತ ಕಿಸಾನ್ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್‌ಗೆ (KCC) ಅರ್ಜಿ ಸಲ್ಲಿಸಬಹುದೇ?,ಹೌದು, ಅರ್ಹರು. ವಯಸ್ಸು 18 ರಿಂದ 75 ರ ನಡುವೆ ಇದೆ ಮತ್ತು ಆಧಾರ್ ಲಭ್ಯವಿದೆ.,kn
